Anthony, The Temptations of St - London;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);1530-1540;Oil on panel;22 x 34
130;Anthony, The Temptations of St - Auckland;Anonymous - Probably after David Teniers;;Oil on panel;22,5 x 17,1
131;Anthony, The Temptations of St - Bath;Venne, Jan van de (1590 - 1651);;Oil on panel;57,1 x 73,7
132;Anthony, The Temptations of St - Berlin;Jan Wellens de Cock (1480-1527);;Oak;33,5 x 47
133;Anthony, The Temptations of St - Berlin;Francken, Frans (1581 - 1642);;Oil on oak;46,8 x 46,3
134;Anthony, The Temptations of St - Berlin;Verbeeck, Frans (c.1510 - 1570) , Workshop;1569;Pen in brown, brush in blue-grey and green, brown wash with brush white highed;19,6 x 30
135;Anthony, The Temptations of St - Berlin;Brouwer, Adriaen (1605/1606 - 1638);;Oil on panel;27,2 x 21
136;Anthony, The Temptations of St - Berlin;Anonymous;1500 - 1525;Oil on wood;40 x 26,5
137;Anthony, The Temptations of St - Berlin - Lempertz;Swanenburgh Jacob Isaakzn van, (1571 - 1638);1617 - 1620;Oil on canvas (relined);89 x 118
138;Anthony, The Temptations of St - Besancon;David Teniers The Younger (1610-1690);;;
139;Anthony, The Temptations of St - Besancon;David Teniers The Younger (1610-1690);;;
140;Anthony, The Temptations of St - Bilbao;Anonymous Flemish painter;;Panel;47 x 74
141;Anthony, The Temptations of St - Bilbao;Francken, Frans (1581 - 1642);c. 1625;Oil on copper;59 x 78
142;Anthony, The Temptations of St - Bruges;Anonymous - Probably an Antwerp artist;Shortly after 1520;Oil on wood (oak); frame and support in one piece.;9,9 x 9,9; outer dimensions 15 x 15
143;Anthony, The Temptations of St - Bruges;Anonymous - Master South Netherlands;17th-century;;
144;Anthony, The Temptations of St - Bruges;Anonymous - After Pieter Huys - After Jheronimus Bosch;1535 -1577;Paper, ink;20,1 x 26,7
145;Anthony, The Temptations of St - Bruges;Anonymous - painter from the Low Countries;16th-century;Oil on panel;39,5 x 28,4
146;Anthony, The Temptations of St - Brussels;Master of the Kerkpredeking;c. 1530;Oil on panel;66,5 x 71
147;Anthony, The Temptations of St - Brussels;Massys, Cornelis (c. 1508 - 1580);;Oil on panel;93,5 x 67
148;Anthony, The Temptations of St - Brussels;Huys, Pieter (1519 - 1581) or Follower;c. 1560;Oil on wood;94,5 x 116,5
149;Anthony, The Temptations of St - Brussels;Heck, Nicolaes Jacobszn. van der (1575 - 1652);1624;Oak;59,5 x 100
150;Anthony, The Temptations of St - Brussels;Anonymous - Probably Jan Mandijn;16th-century;Oil on panel;60 x 150
151;Anthony, The Temptations of St - Brussels;Huys, Pieter (1519 - 1581). Follower of;;Oil;35,5 x 54
152;Anthony, The Temptations of St - Brussels;Huys, Pieter (1519 - 1581);c. 1560;Oil on wood;94,5 x 116,5
153;Anthony, The Temptations of St - Brussels;Anonymous South-Dutch painter;1500 - 1525;Wood;24 x 16,5
154;Anthony, The Temptations of St - Brussels - Auction 2017;Anonymous;;Oil on Oak;21,2 x 31,8
155;Anthony, The Temptations of St - Cambridge;Le Bas, Jacques Phillippe (1707 - 1783);;Etching, engraving;32,1 x 48
156;Anthony, The Temptations of St - Cambridge, MA - USA;Timms (? French) - After David Teniers;18/19th-century;Woodcut;
157;Anthony, The Temptations of St - Cambridge, MA - USA;Anonymous after David Teniers;1699;Etching;19 x 26,6
158;Anthony, The Temptations of St - Cambridge, MA - USA;Sdrach Willemsen (1626 – na 1651) after David Teniers;17th-century;Engraving;
159;Anthony, The Temptations of St - Cassel - France;Anonymous;16th century;Oil on wood;39 x 54
160;Anthony, The Temptations of St - Chicago;Jan Theodoor de Brij (1561 - 1598) - After Pieter Bruegel;published 1596 or 1611;Engraving in black on ivory laid paper;8,1 x 10,5
161;Anthony, The Temptations of St - Cologne;Teniers, David II (1610 - 1690);After 1640;Oil on oak;52,5 x 81,5
162;Anthony, The Temptations of St - Cologne;David Teniers The Younger (1610-1690);1635-1690;Chamois-colored paper, graphite;14,0 x 17,1
163;Anthony, The Temptations of St - Cologne;David Teniers The Younger (1610-1690);After 1640;Oil on oak;20,7 x 32,1
164;Anthony, The Temptations of St - Cologne - Art Trade Lempertz;Anonymous;16th-century;Oil on panel;76 x 90
165;Anthony, The Temptations of St - Cologne - At Trade Lempertz;Bril, Paul (1554 - 1626) - in lines of;1590-1610;Oil;80 x 108
166;Anthony, The Temptations of St - Cologne - Lempertz;Bruegel, Pieter II (the Younger) (1564 - 1638);1625;Oil on wood;47,5 x 64
167;Anthony, The Temptations of St - Cologne - Lempertz;School of Bruegel, Pieter the Elder (1525 - 1569);;Oil on copper;39 x 68
168;Anthony, The Temptations of St - Detroit;Teniers, David The Younger (1610 - 1690);17th-century;Etching and engraving printed in black on laid paper;20,0 x 26,6
169;Anthony, The Temptations of St - Detroit;David Teniers The Younger (1610-1690);17th-Century;Oil on copper;50,5 x 65,7
170;Anthony, The Temptations of St - Dorset;Huys, Pieter (1519 - 1581) or Follower;1570 - 1599;Oil on panel;17,8 x 22,2
171;Anthony, The Temptations of St - Dresden;David Teniers The Younger (1610-1690);;Copper;69 x 86
172;Anthony, The Temptations of St - Dresden;Jan Wellens de Cock (1480-1527);c. 1525;Oil on oak;24,5 x 24,5
173;Anthony, The Temptations of St - Dublin;Master of the Female Half-Lenghts;1500-1550;Oil on oak panel;35,6 x 26,5
174;Anthony, The Temptations of St - Dunkirk;Schoubroeck, Pieter (1560/1580 - 1607);1585 - 1607;Oil on copper;61 x 46 (RKD 46 x 69)
175;Anthony, The Temptations of St - Dunkirk;Venne, Jan van de (1590 - 1651);;Oil on wood;67,8 x 87,7
176;Anthony, The Temptations of St - Dusseldorf;Francken, Frans (1581 - 1642), anonymous follower;After 1610;Oil on canvas;52,5 x 80
177;Anthony, The Temptations of St - Edinburgh;Mandijn Jan (c. 1500 - 1560);1515-1560;Paper; pen in brown; washed in blue;29,9 x 41,5
178;Anthony, The Temptations of St - Eichenzell - Schloss Fasanerie;Anonymous;;Oil on wood;22,1 x 28,6
179;Anthony, The Temptations of St - Escorial;Anonymous;;;
180;Anthony, The Temptations of St - Escorial;Anonymous;16th-century;Oil on Canvas;125 x 170
181;Anthony, The Temptations of St - Escorial;Huys, Pieter (1519 - 1581);1547;;
182;Anthony, The Temptations of St - Esztergom;Wellens de Cock, Jan (1478 - c. 1528);1520 - 1528;Oil on wood;58 x 49
183;Anthony, The Temptations of St - Freiburg;Teniers, David The Younger (1610 - 1690);;;45 x 33
184;Anthony, The Temptations of St - Geneva;Wellens de Cock, Jan (1478 - c. 1528);1520;Oil on panel;49,1 x 36
185;;Anonymous;;Oil on canvas;34 x 43
186;;Jan Bruegel the Younger (1601 - 1678);;Copper;31,2 x 45
187;Anthony, The Temptations of St - Genoa - Genua;Bruegel, Jan the Elder (1568 - 1625);;Oil on panel;61,8 x 86,8
188;;Mandijn Jan (c. 1500 - 1560) or Pieter Huys (1519 - 1581);1540 - 1560;Oil on panel;45 x 62
189;Anthony, The Temptations of St - Haarlem;Mandijn Jan (c. 1500 - 1560);c. 1550;Oil on panel;61,5 x 83,5
190;Anthony, The Temptations of St - Hamburg;Bruegel, Jan the Elder (1568 - 1625);;Pen and brush in brown, over charcoal, reworked in places with a brush in indigo (discolored greenish); Edging lines (pen in brown);26,4 x 39,2
191;Anthony, The Temptations of St - Hartford;Anonymous;1550 - 1575;Oil on panel;21,6 x 28,6
192;Anthony, The Temptations of St - Hartford;Anonymous Flemish painter;1525 - 1530;Oil on panel;
193;Anthony, The Temptations of St - Havana;Craesbeeck Joos van (1625 - 1660) - after David Teniers;;Oil on panel;37 x 52,5
194;Anthony, The Temptations of St - Ieper;Anonymous;1640-1660;Canvas;
195;Anthony, The Temptations of St - Kansas;Wellens de Cock, Jan (1478 - c. 1528);1522 -1525;Oil on panel;28,58 x 38,89
196;Anthony, The Temptations of St - Karlsruhe;Craesbeeck Joos van (1625 - 1660);c. 1650;Oil on canvas;78 x 116
197;Anthony, The Temptations of St - Karlsruhe;Bruegel, Jan the Elder (1568 - 1625);1620/1625;Oil on Oak-wood;54,4 x 83,5
198;Anthony, The Temptations of St - Kassel - Germany;Jan Bruegel the Elder (1568 - 1628);1600-1624;Oil on copper;21 x 30
199;Anthony, The Temptations of St - Kassel - Germany;David Teniers The Younger (1610-1690);;Oil on oak;22,3 x 30,3
200;Anthony, The Temptations of St - Kiev;Anonymous;;;
201;Anthony, The Temptations of St - Laren;Anonymous;1520-1530;Oil on wood;24 x 31,5
202;Anthony, The Temptations of St - Lawrence (USA);Jacques Callot (1592 - 1635);1635;Etching - laid paper;34,9 x 46,1
203;Anthony, The Temptations of St - Leicester;Anonymous;16th century;Oil on panel;43,5 x 32,1
204;Anthony, The Temptations of St - Leiden;Leyden, Aertgen van (1498 - 1564);1530;Drawing;15,5 x 16,9
205;Anthony, The Temptations of St - Lille;Mandijn Jan (c. 1500 - 1560);;;
206;Anthony, The Temptations of St - Lille;David Teniers The Younger (1610-1690);;Oil on panel;26 x 41
207;Anthony, The Temptations of St - Lille;David Teniers The Younger (1610-1690);;Oil on canvas;63 x 87
208;Anthony, The Temptations of St - Lille;Jan Mandijn (c. 1500-1560);1500-1549;Oil on wood;32,5 x 46,5
209;Anthony, The Temptations of St - Lille;Huys, Pieter (1519 - 1581);;Oil on canvas;69 x 90
210;Anthony, The Temptations of St - Lille;David Teniers The Younger (1610-1690) - After;;Oil on panel;47,5 x 63,5
211;Anthony, The Temptations of St - Lisbon;Rijckaert, David III (1612 - 1661);c. 1660;;
212;Anthony, The Temptations of St - London;Bruegel, Pieter the Elder (1525 - 1569) or Mandijn, Jan (c. 1500 - 1560);;Oil on wood;32 x 45,5
213;Anthony, The Temptations of St - London;Wellens de Cock, Jan (1478 - c. 1528);;Oil on panel;70 x 47
214;Anthony, The Temptations of St - London;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);1530-1540;Oil on panel;22 x 34
215;Anthony, The Temptations of St - London;David Teniers The Younger (1610-1690);17th-century;Oil on panel;44,5 x 56
216;Anthony, The Temptations of St - London;Franciscus Carré (1630 - 1669);1663;Oil on panel;16,2 x 15,7
217;Anthony, The Temptations of St - London;David Teniers The Younger (1610-1690);;Oil on panel;61,3 x 122,2
218;Anthony, The Temptations of St - London;Heemskerck II, Egbert van (1666/1686 - 1744));1691-1744 (working period);Oil on canvas;40,6 x 54
219;Anthony, The Temptations of St - London;Teniers, David The Younger (1610 - 1690);1625 - 1690;Oil on panel;22,2 x 16,7
220;Anthony, The Temptations of St - London;Caullery Louis de (c. 1580 - 1628) - or circle;;Oil on copper;25,4 x 32,4
221;Anthony, The Temptations of St - London;David Teniers The Younger (1610-1690);;Oil on panel;59 x 89
222;Anthony, The Temptations of St - London;Jan Bruegel the Elder (1568 - 1628);;Oil on copper;21 x 28,8
223;Anthony, The Temptations of St - London;Huys, Pieter (1519 - 1581);1534 - 1577;Paper, pen in brown, wash in brown and gray;15 x 19,5
224;Anthony, The Temptations of St - London;Kerstiaen de Keuninck (1560 - 1632);1600-1630;Oil on panel;29,8 x 21,9
225;Anthony, The Temptations of St - London;Rijckaert Marten (1587 - 1631);;Oil on copper;16,5 x 13,7
226;Anthony, The Temptations of St - London;Teniers, David I (1583 - 1649);;;
227;Anthony, The Temptations of St - London;Teniers, David II (1610 - 1690);;Oil on canvas;
228;Anthony, The Temptations of St - London;Teniers, David II (1610 - 1690);;Oil on panel;25,6 x 33
229;Anthony, The Temptations of St - London;Bruegel, Pieter II (the Younger) (1564 - 1638);;Oil on panel;73,5 x 116,5
230;Anthony, The Temptations of St - London;David Teniers (1610 - 1690) - Follower of;;Oil on canvas;74 x 121,7
231;Anthony, The Temptations of St - London;Wierix, Hieronymus (1553 - 1619);1619;Engraving;9,0 x 6,2
232;Anthony, The Temptations of St - London;Heyden, Pieter van - after Pieter Bruegel;1556;Engraving;
233;Anthony, The Temptations of St - London - 2018 Christies;Anonymous;;Oil on panel;90,7 x 118,4
234;Anthony, The Temptations of St - London - Art dealer Frank;Anonymous;1525-1574;Oil;
235;Anthony, The Temptations of St - London - Art Dealer Smith;Anonymous;1500-1525;Oil on panel;50,8 x 43
236;Anthony, The Temptations of St - London - Bonhams;Bailleur, Cornelis de (1607 - 1671);;Oil on copper;37 x 44
237;Anthony, The Temptations of St - London - Christies;Anonymous;1530-1540 Antwerp;Oil on wood;92 x 119 (Sels) - 90,7 x 118,4 (Christies)
238;Anthony, The Temptations of St - London - Christies;Huys, Pieter (around 1519 - before april 1586);;Oil on copper;16,5 x 21,9
239;Anthony, The Temptations of St - London - Christies;Anonymous;;Oil on wood;20 x 29,2
240;Anthony, The Temptations of St - London - Christies;Francken, Frans (1581 - 1642);;Oil on copper;50,8 x 64,7
241;Anthony, The Temptations of St - London - Christies;David Teniers The Younger (1610-1690);;Oil on Canvas;57,4 x 46,7
242;Anthony, The Temptations of St - London - Christies 2006;Patinir, Joachim (ca. 1480 - 1524) - Circle;;Oil on panel;22,2 x 29,5
243;Anthony, The Temptations of St - London - Christies 2018;Follower Jan Bruegel the Younger;;Oil on copper;27 x 34
244;Anthony, The Temptations of St - London - Christies 2020;Teniers, David II (1610 - 1690);;Oil on canvas;46 x 58
245;Anthony, The Temptations of St - London - Christies 2021;Anonymous;;Oil on panel;49,8 x 62
246;Anthony, The Temptations of St - London - Christies 2022;Mandijn Jan (c. 1500 - 1560) or Pieter Huys (1519 - 1581);;Oil on panel, laid down on board;54,1 x 69,7
247;Anthony, The Temptations of St - London - Macdougall Fine Art Auctions;Swanenburgh Jacob Isaakzn van, (1571 - 1638);;Oil on canvas;36,5 x 55
248;Anthony, The Temptations of St - London - Matthiesen Gallery;Jan Gossaert or possibly Lancelot Blondeel;1500-1549;Oil on panel;27 x 35
249;Anthony, The Temptations of St - London - Philips Auctioneers;Heemskerck, Egbert van II (1666/1686 - 1746);1691-1744;Oil on canvas;92x 97,2
250;Anthony, The Temptations of St - London - Sotheby's;Saftleven, Herman (1609 - 1685);1629;Oil on panel;33,5 x 27,2
251;Anthony, The Temptations of St - London - Sotheby's;Anonymous;;Pen and grey-brown ink;12 x 15,2
252;Anthony, The Temptations of St - London - Sotheby's;Bruegel, Jan the Elder (1568 - 1625);;Oil on canvas;142,5 x 226
253;Anthony, The Temptations of St - London - Sotheby's;Teniers, David The Younger (1610 - 1690);;Oil on oak panel;22,1 x 16
254;Anthony, The Temptations of St - London - Sotheby's;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);1535 - 1540;Panel;12 x 12
255;Anthony, The Temptations of St - London - Sotheby's;Bril, Paul (1554 -1626) - in lines of;1590 - 1600;Oil on copper;22,2 x 27,8
256;Anthony, The Temptations of St - London - Sotheby's;Pieter Huys or Jan Mandijn;1500-1550;Oil on panel;73 x 145
257;Anthony, The Temptations of St - London - Sotheby's;Teniers, David The Younger (1610 - 1690);1632 (dated);Oil on panel;44 x 57
258;Anthony, The Temptations of St - London - Sotheby's;Jan Mandijn (c. 1500-1560) - possibly;16th-century;Oil on panel;54,5 x 73
259;Anthony, The Temptations of St - London - Sotheby's;Mandijn Jan (c. 1500 - 1560);16th-century;Oil on panel;65,5 x 84
260;Anthony, The Temptations of St - London - Sotheby's;Huys, Pieter (1519 - 1581) or Mandijn, Jan (c. 1500 - 1560);;Oil on oak panel;41,8 x 57
261;Anthony, The Temptations of St - London - Sotheby's;Anonymous;;Olie op eiken paneel;53 x 60
262;Anthony, The Temptations of St - London - Sotheby's;David Teniers The Younger (1610-1690);1625-1690;Oil on canvas;31 x 53,5
263;Anthony, The Temptations of St - London - Sotheby's 2021;Bril, Paul (1554 -1626);;Oil on copper;19,5 x 25
264;Anthony, The Temptations of St - Lucerne - Luzern;David Teniers The Younger (1610-1690);1640;Oil on panel;27,5 x 22,8
265;Anthony, The Temptations of St - Lucerne - Luzern - Galerie Fischer;Anonymous;1500-1549;Oil on Panel;35 x 45
266;Anthony, The Temptations of St - Lyon;Johan Sadeler (1550 - 1600) After Maerten de Vos;;Engraving;16,7 x 19,9
267;Anthony, The Temptations of St - Madrid;Patinir, Joachim (ca. 1480 - 1524) and Mandijn, Jan (c. 1500 - 1560);c. 1520 - 1524;Oil on panel;155 x173
268;Anthony, The Temptations of St - Madrid;Anonymous;1500 - 1510;Oil on wood;70 x 115
269;Anthony, The Temptations of St - Madrid;Teniers, David The Younger (1610 - 1690);1665 -1670;Oil on copper;55 x 69
270;Anthony, The Temptations of St - Madrid;Anonymous;After 1490;Oil on oak;73 x 52,5
271;Anthony, The Temptations of St - Madrid;David Teniers The Younger (1610-1690);1665-1670;Oil on canvas;79 x 110
272;Anthony, The Temptations of St - Madrid;Wellens de Cock, Jan (1478 - c. 1528);1520;Oil on panel;60 x 45,5
273;Anthony, The Temptations of St - Madrid;David Teniers The Younger (1610-1690);1647;Oil on panel;51 x 71
274;Anthony, The Temptations of St - Madrid;Coecke van Aelst, Pieter (1502 - 1550);1543 -1550;Oil on panel;41 x 53
275;Anthony, The Temptations of St - Madrid;David Teniers The Younger (1610-1690);;Oil on canvas;56,5 x 70,3
276;Anthony, The Temptations of St - Madrid - Duran Subastas de Arte;Anonymous;;Oil on wood;74 x 104
277;Anthony, The Temptations of St - Middelburg;David Teniers The Younger (1610-1690) - After;18th century;Copper on Panel;22 x 16
278;Anthony, The Temptations of St - Milano;David Teniers The Younger (1610-1690) - After - Italian School;17th-century;Oil on panel;40 x 27
279;Anthony, The Temptations of St - Milano;Anonymous - Related to Cornelis Engebrechtszn.;1500-1550;;
280;Anthony, The Temptations of St - Minneapolis;David Teniers The Younger (1610-1690);;Oil on Panel;48,6 x 63,8
281;Anthony, The Temptations of St - Monaco;David Teniers The Younger (1610-1690);;Oil on panel;44,5 x 56
282;Anthony, The Temptations of St - Montreal and Geneva;Anonymous;;;72,5 x 99
283;Anthony, The Temptations of St - Moscow;David Teniers The Younger (1610-1690);;;
284;Anthony, The Temptations of St - Moscow;Bruegel, Pieter the Younger (c. 1564 - 1638);After 1616;;
285;Anthony, The Temptations of St - Moscow;Savoldo, Giovanni Gerolamo (1480 - 1548);1524;Oil on panel;53 x 86
286;Anthony, The Temptations of St - Moscow;David Teniers The Younger (1610-1690) - After;;Oil on panel;24 x 34
287;Anthony, The Temptations of St - Munich;Mandijn Jan (c. 1500 - 1560);;Oil on oak;25 x 33,7
288;Anthony, The Temptations of St - Munich;Anonymous;15/16th -century;Oil on wood;37 x 47,5
289;Anthony, The Temptations of St - Munich;Anonymous - Flemish painter;17th-century;Oil on wood;48 x 38
290;Anthony, The Temptations of St - Munich;Bles, Herri met de (c. 1480/1510 - c. 1555);1525-1550;;
291;Anthony, The Temptations of St - Munich;Anonymous - Flandres;;Oak;13,4
292;Anthony, The Temptations of St - Munich;Swanenburgh Jacob Isaakzn van, (1571 - 1638);1583;Oil on panel;56,7 x 99,7
293;Anthony, The Temptations of St - Munich;Anonymous;;Canvas;370 x 180
294;Anthony, The Temptations of St - Munich;Bruegel, Pieter the Younger (c. 1564 - 1638));;Oil on oak;49 x 65
295;Anthony, The Temptations of St - Munich;Bruegel, Jan the Elder (1568 - 1625) and Hieronymus Francken I (1540 - 1610);1600;Oil on copper;18,5 x 24,5
296;Anthony, The Temptations of St - Munich;Helmont, Mattheus van (1623 - 1679);;Oil on canvas;38 x 55
297;Anthony, The Temptations of St - Munich;Anonymous;;Oil on wood;31 x 44
298;Anthony, The Temptations of St - Munich;Bril, Paul (1554 - 1626) - in lines of;;Oil on canvas;52 x 85
299;Anthony, The Temptations of St - Nancy;Callot, Jacques (1592 - 1635);;Colored drawing;
300;Anthony, The Temptations of St - New Haven;Bruegel, Jan the Elder (1568 - 1625);1594;Oil on copper;25,2 x 35,2
301;Anthony, The Temptations of St - New Haven (USA);Anonymous;1561;Engraving;33 x 43,2
302;Anthony, The Temptations of St - New York;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);c. 1550;Oil on wood;22,5 x 34,9
303;Anthony, The Temptations of St - New York;Anonymous;1600-1649;Oil on panel;57,2 x 42,5
304;Anthony, The Temptations of St - New York;Wellens de Cock, Jan (1478 - c. 1528);1510-1520;Pen, or point of the brush, and gray ink, heightened with white gouache, on green prepared paper; verso: pen and brown ink;19,3 x 25,2
305;Anthony, The Temptations of St - New York;Anonymous - French;;Woodcut with hand coloring;35,7 x 49,4
306;Anthony, The Temptations of St - New York;Teniers, David II (1610 - 1690) - After;18/19th-century;Oil on Panel;36,8 x 45,2
307;Anthony, The Temptations of St - New York;Anonymous;;Oil on panel;79,2 x 113
308;Anthony, The Temptations of St - New York;Doetecom, Jan and Lucas;1559 -1593;Etching;33 x 43
309;Anthony, The Temptations of St - New York - Art Dealer Tunick;Anonymous;;Engraving;33,0 x 43,0
310;Anthony, The Temptations of St - New York - Christies;Saftleven, Cornelis (1607 - 1681);;Oil on panel;39,5 x 50,5
311;Anthony, The Temptations of St - New York - Christies;Teniers, David (1610 - 1690)- Follower of;;Oil on panel;72,4 x 56,5
312;Anthony, The Temptations of St - New York - Christies;Huys, Pieter (1519 - 1581);1500-1549;Oil on panel;56,5 x 43,5
313;Anthony, The Temptations of St - New York - Christies;Heemskerck, Egbert II van (1686 - 1744);1681-1744;Oil on Canvas;34,2 x 40,6
314;Anthony, The Temptations of St - New York - Christies;David Teniers - Follower;1625-1690;Oil on Copper;15,2 x 20
315;Anthony, The Temptations of St - New York - Christies;Heemskerck, Egbert van (1634 - 1704);;Oil on Canvas;29,7 x 35,2
316;Anthony, The Temptations of St - New York - Christies;David Teniers - Follower;;Oil on Panel;53,6 x 66,6
317;Anthony, The Temptations of St - New York - Christies;Anonymous;;;
318;Anthony, The Temptations of St - New York - Christies;Anonymous;;Oil on panel;29,5 x 35,5
319;Anthony, The Temptations of St - New York - Christies;Anonymous;;Oil on panel;72,5 x 99
320;Anthony, The Temptations of St - New York - Christies;Frans Francken the Younger (1581-1642);1604;Oil on copper;20,6 x 27,7
321;Anthony, The Temptations of St - New York - Christies 2023;Verbeeck Jan The Older (1520 - after 1569);;Tempera on canvas;75 x 106,5
322;Anthony, The Temptations of St - New York - Delius Giese;Anonymous - Circle Jan Mandijn;1550 - 1600;Oil on Panel;48,2 x 61
323;Anthony, The Temptations of St - New York - French & Company;Anonymous;1550-1600;Oil on Panel;40,6 x 52
324;Anthony, The Temptations of St - New York - Private collection;Wellens de Cock, Jan (1478 - c. 1528);1500 - 1550;Oil on panel;36,8 x 31,8
325;Anthony, The Temptations of St - New York - Sotheby's;Anonymous;;Olie op canvas;97,2 x 143,5
326;Anthony, The Temptations of St - New York - Sotheby's;Jan Wellens de Cock (1480 - 1527) - Circle;;Oil on panel;18,5 x 26,7
327;Anthony, The Temptations of St - New York - Sotheby's;Anonymous;c. 1550;Oil on panel;43,5 x 58
328;Anthony, The Temptations of St - New York - Sotheby's;Huys, Pieter (1519 - 1581);;Oil on panel;45 x 62
329;Anthony, The Temptations of St - New York - Sotheby's;Huys, Pieter (1519 - 1581);;Oil on copper;15,8 x 20,9
330;Anthony, The Temptations of St - Newgate;Saftleven, Cornelis (1607 - 1681);;;
331;Anthony, The Temptations of St - Norfolk;Mandijn Jan (c. 1500 - 1560) - (according Held and Valentiner);c. 1515 - 1520;Oil on panel;40,6 x 52,1
332;Anthony, The Temptations of St - Norfolk;Anonymous;c. 1510;Oil on wood;41,25 x 26,25 - Probably on all sides cut short
333;Anthony, The Temptations of St - Ottawa;Anonymous;1525 - 1550;Oil on wood;26 x 19,3
334;Anthony, The Temptations of St - Oviedo;Anonymous - Probably Jan Mandijn or Pieter Huys;;;125 x 70
335;Anthony, The Temptations of St - Oxford;Pieter Bruegel the Elder (1525-1569);1556;Pen and Indian ink on paper;21,5 (right) / 21,6 (left) x 32,6
336;Anthony, The Temptations of St - Oxford;Anonymous;1516-1580;Pen and black ink, on laid paper (laid down);16,8 x 28,3
337;Anthony, The Temptations of St - Oxford;Verbeeck, Jan (1510 - 1570);;;
338;Anthony, The Temptations of St - Oxford;Anonymous Flemish painter;17th century;Oil on panel;27 x 37
339;Anthony, The Temptations of St - Paris;Teniers, David The Younger (1610 - 1690);c. 1640;Oil on wood;22 x 16
340;Anthony, The Temptations of St - Paris;Anonymous;1520 or before;Oil on wood;49 x 36
341;Anthony, The Temptations of St - Paris;David Teniers The Younger (1610-1690);c. 1650;Oil on wood;16,4 x 22
342;Anthony, The Temptations of St - Paris;Anonymous;c. 1520;Oil on panel;53 x 44
343;Anthony, The Temptations of St - Paris;Bles, Herri met de (c. 1480/1510 - c. 1555);1525 - 1550;Oil on panel;Tondo 25; 24 x 24
344;Anthony, The Temptations of St - Paris;Pieter Bruegel the Elder (1525-1569) or Jan Mandijn (c. 1500 - 1560);;;45 x 62
345;Anthony, The Temptations of St - Paris;David Teniers The Younger (1610-1690);c. 1640;Oil on canvas;60 x 83,5
346;Anthony, The Temptations of St - Paris;Huys, Pieter (1519 - 1581);1547;Oil on oak;71 x 103
347;Anthony, The Temptations of St - Paris - Art Dealer Loebl;Anonymous - Antwerp school;c. 1530;Oil on panel;32 x 41
348;Anthony, The Temptations of St - Paris - Artcurial Auction House;Huys, Pieter (1519 - 1581);;Oil on oak panel;45 x 57
349;Anthony, The Temptations of St - Paris - Bergé;Mandijn Jan (c. 1500 - 1560) or Huys, Pieter (c. 1519 - 1584);1525 - 1574;Oil on oak panel, two panels;34 x 46,5
350;Anthony, The Temptations of St - Paris - De Jonckeere;Rijckaert, David (1612 - 1661);1647;Oil on panel;56 x 73,5
351;Anthony, The Temptations of St - Paris - De Jonckheere;Mandijn Jan (c. 1500 - 1560);;;45 x 62
352;Anthony, The Temptations of St - Paris - De Jonckheere;Apshoven, Thomas van (1622 - 1664);1642 - 1664;Oil on panel;20 x 27
353;Anthony, The Temptations of St - Paris - De Jonckheere;Mandijn Jan (c. 1500 - 1560);;;20 x 29,2
354;Anthony, The Temptations of St - Paris - Drouot;Pieter Huys - possibly;;Panel;36 x 54
355;Anthony, The Temptations of St - Paris - Hôtel Drouot;School or after Jan Wellens de Cock (according website 'artnet');;Oil on panel;41 x 29
356;Anthony, The Temptations of St - Paris - Palais Galliera 1963;Aonymous;c. 1520;Oil on panel;72 x 53,5
357;Anthony, The Temptations of St - Paris - Piasa;Francken, Frans (1581 - 1642;1596-1642 (working period);Oil on copper;55,5 x 72
358;Anthony, The Temptations of St - Paris - Sotheby's 2020;Jan Bruegel the Elder (1568 - 1625) - Circle;;Oil on Canvas;20,4 x 28,2
359;Anthony, The Temptations of St - Paris/Brussels - De Jonckheere;Mandijn Jan (c. 1500 - 1560) or Mostaert, Jan (1475 - 1555);1540-1550;Oil on wood;49 x 59
360;Anthony, The Temptations of St - partial copy of the Lisbon central panel) - Lisbon;Anonymous;;Oil on canvas;61,5 x 54,5
361;Anthony, The Temptations of St - Ponce;Teniers, David The Younger (1610 - 1690);c. 1665;;111.5 x 148,9
362;Anthony, The Temptations of St - Prague;Teniers, David The Younger (1610 - 1690);;;
363;Anthony, The Temptations of St - Prague;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);c. 1533-1555 (active);Oil on panel;33,6 x 49,1
364;Anthony, The Temptations of St - Private collection;Anonymous;c. 1625;Oil on panel;34,6 x 48,9
365;Anthony, The Temptations of St - Private collection;Teniers, David - The Old (1582 - 1649);c. 1600;Oil on panel;67 x 63
366;Anthony, The Temptations of St - Private collection;Anonymous;;Oil on panel;67 x 41
367;Anthony, The Temptations of St - Private collection - Ardooie;Jan Bruegel the Elder (1568 - 1625) - attributed;;Oil on Copper;19,9 x 25,9
368;Anthony, The Temptations of St - Private collection - St. Petersburg;Anonymous - South Netherlands;1550-1599;Oil;
369;Anthony, The Temptations of St - Private collection Auderghem;Huys, Pieter (1519 - 1581);1501-1600;Wood;73 x 104
